name,alt_name,ra,dec,vmag,class
HR 4554,64Gam UMa,178.4575,53.69469444,2.44,STAR A0V
HR 2827,31Eta CMa,111.0237916,-29.3031111,2.45,STAR B5I
HR 7949,53Eps Cyg,311.5529166,33.97030556,2.46,STAR K0III
HR 264,27Gam Cas,14.17708333,60.71669444,2.47,STAR B0IV
HR 8781,54Alp Peg,346.1904166,15.20530556,2.49,STAR B9V
HR 3734,Kap Vel,140.5282916,-55.0108055,2.5,STAR B2IV
HR 911,92Alp Cet,45.57,4.08969444,2.53,STAR M1III
HR 5231,Zet Cen,208.885,-47.2883055,2.55,STAR B2IV
HR 4357,68Del Leo,168.5270833,20.52361111,2.56,STAR A4V
HR 6175,13Zet Oph,249.2895833,-10.5671944,2.56,STAR O9V
HR 1865,11Alp Lep,83.1825,-17.8221944,2.58,STAR F0I
HR 4662,4Gam Crv,183.9517083,-17.5418888,2.59,STAR B8III
HR 4621,Del Cen,182.0895833,-50.7225,2.6,STAR B2IV
HR 7194,38Zet Sgr,285.6529166,-29.8803055,2.6,STAR A2III
HR 5685,27Bet Lib,229.2517083,-9.38311111,2.61,STAR B8V
HR 4057,41Gam1Leo,154.9929166,19.84169444,2.61,STAR K1III
HR 2095,37The Aur,89.93041667,37.2125,2.62,STAR A0
HR 5984,8Bet1Sco,241.3592083,-19.8056111,2.62,STAR B1V
HR 1956,Alp Col,84.91208333,-34.0741944,2.64,STAR B7IV
HR 553,6Bet Ari,28.66,20.80811111,2.64,STAR A5V
HR 5854,24Alp Ser,236.0670833,6.42561111,2.65,STAR K2III
HR 4786,9Bet Crv,188.5967083,-23.3966944,2.65,STAR G5II
HR 5235,8Eta Boo,208.6712083,18.39780556,2.68,STAR G0IV
HR 5571,Bet Lup,224.6329166,-43.1338888,2.68,STAR B2III
HR 403,37Del Cas,21.45420833,60.23530556,2.68,STAR A5III
HR 6508,34Ups Sco,262.6907916,-37.2958055,2.69,STAR B2IV
HR 4798,Alp Mus,189.2957916,-69.1356111,2.69,STAR B2IV
HR 1577,3Iot Aur,74.24829167,33.16611111,2.69,STAR K3II
HR 4216,Mu  Vel,161.6925,-49.42,2.69,STAR G5III
HR 2773,Pi  Pup,109.2857916,-37.0975,2.7,STAR K3I
HR 6859,19Del Sgr,275.2487083,-29.8281111,2.7,STAR K3III
HR 5506,36Eps Boo,221.2467083,27.07419444,2.7,STAR K0II
HR 7525,50Gam Aql,296.565,10.61330556,2.72,STAR K3II
HR 6132,14Eta Dra,245.9979166,61.51419444,2.74,STAR G8III
HR 6056,1Del Oph,243.5862083,-3.69438889,2.74,STAR M0III
HR 5531,9Alp2Lib,222.7195833,-16.0416944,2.75,STAR A3IV
HR 5028,Iot Cen,200.1492083,-36.7121944,2.75,STAR A2V
HR 4199,The Car,160.7392083,-64.3943888,2.76,STAR B0V
HR 6148,27Bet Her,247.555,21.48969444,2.77,STAR G7III
HR 1899,44Iot Ori,83.85829167,-5.91,2.77,STAR O9III
HR 6603,60Bet Oph,265.8682916,4.56719444,2.77,STAR K2III
HR 5776,Gam Lup,233.7854166,-41.1668888,2.78,STAR B2IV
HR 6536,23Bet Dra,262.6082916,52.30138889,2.79,STAR G2I
HR 1666,67Bet Eri,76.9625,-5.08638889,2.79,STAR A3III
HR 4656,Del Cru,183.7862916,-58.7488888,2.8,STAR B2IV
HR 98,Bet Hyi,6.43791667,-77.2541944,2.8,STAR G2IV
HR 6913,22Lam Sgr,276.9925,-25.4216944,2.81,STAR K1III
HR 3185,15Rho Pup,121.8857916,-24.3041944,2.81,STAR F6II
HR 6212,40Zet Her,250.3217083,31.60311111,2.81,STAR G0IV
HR 6165,23Tau Sco,248.9707916,-28.2161111,2.82,STAR B0V
HR 4932,47Eps Vir,195.5442083,10.95919444,2.83,STAR G8III
HR 39,88Gam Peg,3.30920833,15.18361111,2.83,STAR B2IV
HR 1829,9Bet Lep,82.06120833,-20.7593888,2.84,STAR G5II
HR 6461,Bet Ara,261.325,-55.53,2.85,STAR K3I
HR 1203,44Zet Per,58.53291667,31.88361111,2.85,STAR B1I
HR 5897,Bet TrA,238.7854166,-63.4306111,2.85,STAR F2III
HR 8502,Alp Tuc,334.6254166,-60.2596944,2.86,STAR K3III
HR 591,Alp Hyi,29.6925,-61.5696944,2.86,STAR F0V
HR 8322,49Del Cap,326.76,-16.1271944,2.87,STAR A0
HR 1165,25Eta Tau,56.87129167,24.105,2.87,STAR B7III
HR 7528,18Del Cyg,296.2437083,45.13080556,2.87,STAR B9IV
HR 2286,13Mu  Gem,95.74,22.51361111,2.88,STAR M3III
HR 2890,66Alp Gem,113.65,31.88861111,2.88,STAR A2V
HR 5671,Gam TrA,229.7275,-68.6793888,2.89,STAR A1V
HR 7264,41Pi  Sgr,287.4407916,-21.0236111,2.89,STAR F2II
HR 6084,20Sig Sco,245.2970833,-25.5928055,2.89,STAR B1III
HR 1220,45Eps Per,59.46329167,40.01030556,2.89,STAR B0V
HR 5944,6Pi  Sco,239.7129166,-26.1141944,2.89,STAR B1V
HR 4915,12Alp2CVn,194.0070833,38.31830556,2.9,STAR A0
HR 2845,3Bet CMi,111.7875,8.28938889,2.9,STAR B8V
HR 8232,22Bet Aqr,322.8895833,-5.57111111,2.91,STAR G0I
HR 2553,Tau Pup,102.4842083,-50.6146944,2.93,STAR K1III
HR 915,23Gam Per,46.19920833,53.50638889,2.93,STAR G8III
HR 8650,44Eta Peg,340.7504166,30.22138889,2.94,STAR G2II
HR 1231,34Gam Eri,59.5075,-13.5086111,2.95,STAR M0III
HR 6510,Alp Ara,262.9604166,-49.8761111,2.95,STAR B2V
HR 4757,7Del Crv,187.4662083,-16.5156111,2.95,STAR B9V
HR 8414,34Alp Aqr,331.4457916,-0.31969444,2.96,STAR G2I
HR 2473,27Eps Gem,100.9829166,25.13111111,2.98,STAR G8I
HR 3873,17Eps Leo,146.4629166,23.77419444,2.98,STAR G1II
HR 6746,10Gam2Sgr,271.4520833,-30.4241944,2.99,STAR K0III
HR 1605,7Eps Aur,75.49208333,43.82330556,2.99,STAR F0I
HR 7235,17Zet Aql,286.3525,13.86330556,2.99,STAR A0V
HR 4630,2Eps Crv,182.5312083,-22.6196944,3.0,STAR K2III
HR 1910,123Zet Tau,84.41120833,21.1425,3.0,STAR B4III
HR 622,4Bet Tri,32.38579167,34.98719444,3.0,STAR A5III
HR 5020,46Gam Hya,199.7304166,-23.1716944,3.0,STAR G8III
HR 8353,Gam Gru,328.4820833,-37.365,3.01,STAR B8III
HR 4335,52Psi UMa,167.4157916,44.49861111,3.01,STAR K1III
HR 1122,39Del Per,55.73129167,47.7875,3.01,STAR B5III
HR 3890,Ups Car,146.7754166,-65.0718888,3.01,STAR A6I
HR 2282,1Zet CMa,95.07829167,-30.0633055,3.02,STAR B2V
HR 2653,24Omi2CMa,105.7562083,-23.8333055,3.02,STAR B3I
HR 5435,27Gam Boo,218.0195833,38.30830556,3.03,STAR A7III
HR 6615,Iot1Sco,266.8962083,-40.1268888,3.03,STAR F2I
HR 5193,Mu  Cen,207.4042083,-42.4738888,3.04,STAR B2IV
HR 681,68Omi Cet,34.83629167,-2.9775,3.04,STAR M7III
HR 4069,34Mu  UMa,155.5820833,41.49938889,3.05,STAR M0III
HR 4844,Bet Mus,191.5704166,-68.1081111,3.05,STAR B2V
HR 5735,13Gam UMi,230.1820833,71.83388889,3.05,STAR A3II
HR 7310,57Del Dra,288.1387916,67.66169444,3.07,STAR G9III
HR 7417,6Bet1Cyg,292.6804166,27.95969444,3.08,STAR K3II
HR 6247,Mu 1Sco,252.9675,-38.0475,3.08,STAR B1V
HR 7776,9Bet Cap,305.2529166,-14.7813888,3.08,STAR F8V
HR 7869,Alp Ind,309.3917083,-47.2913888,3.11,STAR K0III
HR 3547,16Zet Hya,133.8482916,5.94561111,3.11,STAR G9II
HR 4232,Nu  Hya,162.4062083,-16.1936111,3.11,STAR K2III
HR 6832,Eta Sgr,274.4067083,-36.7616944,3.11,STAR M3III
HR 2040,Bet Col,87.74,-35.7683055,3.12,STAR K2III
HR 5576,Kap Cen,224.7904166,-42.1041944,3.13,STAR B2IV
HR 3705,40Alp Lyn,140.2637083,34.3925,3.13,STAR K7III
HR 3803,,142.8054166,-57.0343888,3.13,STAR K5III
HR 6285,Zet Ara,254.655,-55.9903055,3.13,STAR K3III
HR 4467,Lam Cen,173.945,-63.0196944,3.13,STAR B9III
HR 6410,65Del Her,258.7579166,24.83919444,3.14,STAR A3IV
HR 3569,9Iot UMa,134.8017083,48.04169444,3.14,STAR A7IV
HR 6418,67Pi  Her,258.7617083,36.80919444,3.16,STAR K3II
HR 2451,Nu  Pup,99.44041667,-43.1961111,3.17,STAR B8III
HR 1641,10Eta Aur,76.62879167,41.23438889,3.17,STAR B3V
HR 6396,22Zet Dra,257.1967083,65.71469444,3.17,STAR B6III
HR 3775,25The UMa,143.2142083,51.67719444,3.17,STAR F6IV
HR 7039,27Phi Sgr,281.4142083,-26.9908055,3.17,STAR B8III
HR 5463,Alp Cir,220.6267083,-64.9753055,3.19,STAR A0
HR 1654,2Eps Lep,76.36541667,-22.3711111,3.19,STAR K5III
HR 1543,1Pi 3Ori,72.46,6.96138889,3.19,STAR F6V
HR 8115,64Zet Cyg,318.2342083,30.22688889,3.2,STAR G8III
HR 6299,27Kap Oph,254.4170833,9.375,3.2,STAR K2III
HR 8974,35Gam Cep,354.8367083,77.6325,3.21,STAR K1III
HR 6630,,267.4645833,-37.0433055,3.21,STAR K2III
HR 5695,Del Lup,230.3429166,-40.6475,3.22,STAR B1IV
HR 7710,65The Aql,302.8262916,-0.82138889,3.23,STAR B9III
HR 8238,8Bet Cep,322.165,70.56080556,3.23,STAR B1IV
HR 7178,14Gam Lyr,284.7357916,32.68938889,3.24,STAR B9III
HR 897,The1Eri,44.56541667,-40.3046944,3.24,STAR A4III
HR 1208,Gam Hyi,56.80958333,-74.2388888,3.24,STAR M2III
HR 6075,2Eps Oph,244.5804166,-4.6925,3.24,STAR G9III
HR 2878,Sig Pup,112.3075,-43.3013888,3.25,STAR K5III
HR 6869,58Eta Ser,275.3275,-2.89888889,3.26,STAR K0III
HR 2550,Alp Pic,102.0475,-61.9413888,3.27,STAR A7IV
HR 6453,42The Oph,260.5025,-24.9993888,3.27,STAR B2IV
HR 165,31Del And,9.83208333,30.86080556,3.27,STAR K3III
HR 1465,Alp Dor,68.49920833,-55.045,3.27,STAR A0III
HR 8709,76Del Aqr,343.6625,-15.8208055,3.27,STAR A3V
HR 5287,49Pi  Hya,211.5929166,-26.6825,3.27,STAR K2III
HR 2216,7Eta Gem,93.71920833,22.50669444,3.28,STAR M3III
HR 5603,20Sig Lib,226.0175,-25.2818888,3.29,STAR M3III
HR 5744,12Iot Dra,231.2325,58.96611111,3.29,STAR K2III
HR 4660,69Del UMa,183.8567083,57.0325,3.31,STAR A3V
HR 322,Bet Phe,16.52079167,-46.7186111,3.31,STAR G8III
HR 1702,5Mu  Lep,78.23291667,-16.2056111,3.31,STAR B9III
HR 4140,,158.0057916,-61.6853055,3.32,STAR B4V
HR 4037,Ome Car,153.4342083,-70.0381111,3.32,STAR B8III
HR 7234,40Tau Sgr,286.735,-27.6706111,3.32,STAR K1III
HR 6380,Eta Sco,258.0382916,-43.2391944,3.33,STAR F3III
HR 6698,64Nu  Oph,269.7567083,-9.77361111,3.34,STAR K0III
HR 6462,Gam Ara,261.3482916,-56.3775,3.34,STAR B1I
HR 3045,7Xi  Pup,117.3237916,-24.8596944,3.34,STAR G6I
HR 4359,70The Leo,168.56,15.42938889,3.34,STAR A2V
HR 8465,21Zet Cep,332.7137083,58.20111111,3.35,STAR K1I
HR 1336,Alp Ret,63.60629167,-62.4738888,3.35,STAR G8II
HR 3323,1Omi UMa,127.5662916,60.71811111,3.36,STAR G5III
HR 1788,28Eta Ori,81.11920833,-2.39688889,3.36,STAR B1V
HR 2484,31Xi  Gem,101.3225,12.89561111,3.36,STAR F5III
HR 7377,30Del Aql,291.3745833,3.11469444,3.36,STAR F3IV
HR 5708,Eps Lup,230.6704166,-44.6893888,3.37,STAR B2IV
HR 5107,79Zet Vir,203.6732916,-0.59580556,3.37,STAR A3V
HR 542,45Eps Cas,28.59870833,63.67,3.38,STAR B3III
HR 4910,43Del Vir,193.9007916,3.3975,3.38,STAR M3III
HR 3482,11Eps Hya,131.6942083,6.41888889,3.38,STAR G5III
HR 921,25Rho Per,46.29420833,38.84030556,3.39,STAR M4II
HR 8634,42Zet Peg,340.3654166,10.83138889,3.4,STAR B8V
HR 4050,,154.2707916,-61.3321944,3.4,STAR K3II
HR 1412,78The2Tau,67.16541667,15.87080556,3.4,STAR A7III
HR 429,Gam Phe,22.09120833,-43.3183055,3.41,STAR M0III
HR 5649,Zet Lup,228.0712083,-52.0991944,3.41,STAR G8III
HR 5948,Eta Lup,240.0304166,-38.3968888,3.41,STAR B2IV
HR 5190,Nu  Cen,207.3762916,-41.6878055,3.41,STAR B2IV
HR 544,2Alp Tri,28.27041667,29.57888889,3.41,STAR F6IV
HR 7913,Bet Pav,311.2395833,-66.2031111,3.42,STAR A7III
HR 6623,86Mu  Her,266.6145833,27.72061111,3.42,STAR G5IV
HR 7957,3Eta Cep,311.3225,61.83888889,3.43,STAR K0IV
HR 7236,16Lam Aql,286.5620833,-4.8825,3.44,STAR B9V
HR 219,24Eta Cas,12.275,57.81580556,3.44,STAR F9V
HR 4031,36Zet Leo,154.1725,23.41719444,3.44,STAR F0III
HR 3659,,137.7417083,-58.9668888,3.44,STAR B2IV
HR 7106,10Bet Lyr,282.52,33.36280556,3.45,STAR B8II
HR 4033,33Lam UMa,154.2742083,42.91438889,3.45,STAR A2IV
HR 334,31Eta Cet,17.1475,-10.1821944,3.45,STAR K1III
HR 7635,12Gam Sge,299.6892083,19.49219444,3.47,STAR M0III
HR 5681,49Del Boo,228.8757916,33.31469444,3.47,STAR G8III
HR 804,86Gam Cet,40.825,3.23580556,3.47,STAR A3V
HR 2646,22Sig CMa,105.4295833,-27.9346944,3.47,STAR K7I
HR 3117,Chi Car,119.1945833,-52.9821944,3.47,STAR B3IV
HR 1239,35Lam Tau,60.17,12.49030556,3.47,STAR B3V
HR 4377,54Nu  UMa,169.6195833,33.09419444,3.48,STAR K3III
HR 6406,64Alp1Her,258.6620833,14.39030556,3.48,STAR M5I
HR 8684,48Mu  Peg,342.5007916,24.60169444,3.48,STAR G8III
HR 8675,Eps Gru,342.1387916,-51.3168888,3.49,STAR A3V
HR 5602,42Bet Boo,225.4867083,40.39061111,3.5,STAR G8III
HR 509,52Tau Cet,26.01708333,-15.9375,3.5,STAR G8V
HR 7150,37Xi 2Sgr,284.4325,-21.1066944,3.51,STAR K1III
HR 6897,Alp Tel,276.7432916,-45.9683055,3.51,STAR B3IV
HR 3249,17Bet Cnc,124.1287916,9.18561111,3.52,STAR K4III
HR 3852,14Omi Leo,145.2875,9.89219444,3.52,STAR F6II
HR 8694,32Iot Cep,342.42,66.20061111,3.52,STAR K0III
HR 3975,30Eta Leo,151.8332916,16.76280556,3.52,STAR A0I
HR 5881,32Mu  Ser,237.405,-3.43030556,3.53,STAR A0V
HR 1409,74Eps Tau,67.15420833,19.18030556,3.53,STAR G9III
HR 8450,26The Peg,332.55,6.19780556,3.53,STAR A2V
HR 2777,55Del Gem,110.0307916,21.98219444,3.53,STAR F2IV
HR 6220,44Eta Her,250.7242083,38.92219444,3.53,STAR G7III
HR 1879,39Lam Ori,83.78458333,9.93419444,3.54,STAR O8III
HR 4450,Xi  Hya,173.2504166,-31.8578055,3.54,STAR G7III
HR 1136,23Del Eri,55.81208333,-9.76330556,3.54,STAR K0IV
HR 3940,Phi Vel,149.2157916,-54.5678055,3.54,STAR B5I
HR 6561,55Xi  Ser,264.3967083,-15.3986111,3.54,STAR F0IV
HR 1998,14Zet Lep,86.73870833,-14.8218888,3.55,STAR A3V
HR 5354,Iot Lup,214.8507916,-46.0578055,3.55,STAR B2IV
HR 74,8Iot Cet,4.85708333,-8.82388889,3.56,STAR K1III
HR 674,Phi Eri,34.1275,-51.5121944,3.56,STAR B8V
HR 4382,12Del Crt,169.8354166,-14.7786111,3.56,STAR G8III
HR 1347,41Ups4Eri,64.47370833,-33.7983055,3.56,STAR B9V
HR 5705,Phi1Lup,230.4517083,-36.2613888,3.56,STAR K5III
HR 7665,Del Pav,302.1817083,-66.1818888,3.56,STAR G6IV
HR 7754,6Alp2Cap,304.5137916,-12.5446944,3.57,STAR G8III
HR 464,51    And,24.49829167,48.62830556,3.57,STAR K3III
HR 6252,Mu 2Sco,253.0837916,-38.0175,3.57,STAR B2IV
HR 2985,77Kap Gem,116.1117083,24.39811111,3.57,STAR G8III
HR 6927,44Chi Dra,275.2642083,72.73280556,3.57,STAR F7V
HR 2763,54Lam Gem,109.5232916,16.54030556,3.58,STAR A3V
HR 5794,39Ups Lib,234.2562916,-28.135,3.58,STAR K3III
HR 5429,25Rho Boo,217.9575,30.37138889,3.58,STAR K3III
HR 4700,Eps Cru,185.34,-60.4011111,3.59,STAR K3III
HR 1735,20Tau Ori,79.40170833,-6.84438889,3.6,STAR B5III
HR 1030,1Omi Tau,51.20329167,9.02888889,3.6,STAR G6III
HR 402,45The Cet,21.00579167,-8.18330556,3.6,STAR K0III
HR 1983,13Gam Lep,86.11579167,-22.4483055,3.6,STAR F6V
HR 3594,12Kap UMa,135.9062083,47.15669444,3.6,STAR A1V
HR 2540,34The Gem,103.1970833,33.96111111,3.6,STAR A3III
HR 3786,Psi Vel,142.675,-40.4666944,3.6,STAR F3IV
HR 3017,,116.3137916,-37.9686111,3.61,STAR K2I
HR 3994,41Lam Hya,152.6470833,-12.3541944,3.61,STAR K0III
HR 4540,5Bet Vir,177.6737916,1.76469444,3.61,STAR F9V
HR 8762,1Omi And,345.4804166,42.32611111,3.62,STAR B6III
HR 4923,Del Mus,195.5675,-71.5488888,3.62,STAR K2III
HR 6271,Zet2Sco,253.6457916,-42.3613888,3.62,STAR K4III
HR 6500,Del Ara,262.7745833,-60.6838888,3.62,STAR B8V
HR 3447,,130.0732916,-52.9218888,3.62,STAR B3IV
HR 6582,Eta Pav,266.4332916,-64.7238888,3.62,STAR K2II
HR 437,99Eta Psc,22.87079167,15.34580556,3.62,STAR G7III
HR 7882,6Bet Del,309.3875,14.59530556,3.63,STAR F5IV
HR 838,41    Ari,42.49579167,27.26061111,3.63,STAR B8V
HR 1178,27    Tau,57.29041667,24.05330556,3.63,STAR B8III
HR 4520,Lam Mus,176.4017083,-66.7286111,3.64,STAR A7III
HR 1346,54Gam Tau,64.94829167,15.6275,3.65,STAR K0III
HR 4825,29Gam Vir,190.415,-1.44938889,3.65,STAR F0V
HR 7986,Bet Ind,313.7025,-58.4541944,3.65,STAR K1II
HR 5291,11Alp Dra,211.0970833,64.37580556,3.65,STAR A0III
HR 8812,88    Aqr,347.3617083,-21.1725,3.66,STAR K1III
HR 5812,40Tau Lib,234.6642083,-29.7778055,3.66,STAR B2V
HR 153,17Zet Cas,9.24291667,53.89688889,3.66,STAR B2IV
HR 6743,The Ara,271.6579166,-50.0916944,3.66,STAR B2I
HR 3757,23    UMa,142.8820833,63.06188889,3.67,STAR F0IV
HR 5867,28Bet Ser,236.5470833,15.42188889,3.67,STAR A2IV
HR 8278,40Gam Cap,325.0229166,-16.6621944,3.68,STAR F0
HR 5747,3Bet CrB,231.9570833,29.10580556,3.68,STAR F0
HR 3468,Alp Pyx,130.8979166,-33.1863888,3.68,STAR B1III
HR 4826,29Gam Vir,190.415,-1.44938889,3.68,STAR F0V
HR 3884,,146.3117083,-62.5078055,3.69,STAR G5I
HR 1003,16Tau4Eri,49.87920833,-21.7578055,3.69,STAR M3III
HR 8852,6Gam Psc,349.2912916,3.28219444,3.69,STAR G9III
HR 1552,3Pi 4Ori,72.80170833,5.605,3.69,STAR B2III
HR 566,Chi Eri,28.98958333,-51.6088888,3.7,STAR G8III
HR 6703,92Xi  Her,269.4412916,29.24780556,3.7,STAR G8III
HR 1142,17    Tau,56.21879167,24.11330556,3.7,STAR B6III
HR 4518,63Chi UMa,176.5125,47.77938889,3.71,STAR K0III
HR 5892,37Eps Ser,237.7042083,4.47780556,3.71,STAR A2V
HR 7602,60Bet Aql,298.8282916,6.40669444,3.71,STAR G8IV
HR 2085,16Eta Lep,89.10120833,-14.1678055,3.71,STAR F1III
HR 8079,62Xi  Cyg,316.2329166,43.92780556,3.72,STAR K4I
HR 2077,33Del Aur,89.88170833,54.28469444,3.72,STAR K0III
HR 5511,109    Vir,221.5620833,1.89280556,3.72,STAR A0V
HR 1567,8Pi 5Ori,73.56291667,2.44061111,3.72,STAR B3III
HR 8130,65Tau Cyg,318.6979166,38.04561111,3.72,STAR F2IV
HR 6771,72    Oph,271.8375,9.56388889,3.73,STAR A4IV
HR 3080,,118.0542083,-40.5758055,3.73,STAR K1II
HR 539,55Zet Cet,27.865,-10.335,3.73,STAR K0III
HR 1084,18Eps Eri,53.2325,-9.45830556,3.73,STAR K2V
HR 8204,34Zet Cap,321.6667083,-22.4113888,3.74,STAR G4I
HR 1038,2Xi  Tau,51.7925,9.73280556,3.74,STAR B9V
HR 8698,73Lam Aqr,343.1537083,-7.57969444,3.74,STAR M2III
HR 6629,62Gam Oph,266.9732916,2.70719444,3.75,STAR A0V
HR 6095,20Gam Her,245.48,19.15311111,3.75,STAR A9III
HR 8571,27Del Cep,337.2929166,58.41530556,3.75,STAR F5I
